地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/12/16,05:57:32.4,淡路島付近,34°21.6′N,134°53.4′E,12 km,3.6,震度３
2017/12/16,02:58:43.9,岩手県沖,39°41.1′N,142°05.6′E,52 km,5.5,震度４
2017/12/11,05:39:09.8,紀伊水道,34°02.6′N,135°05.5′E,9 km,3.8,震度３
2017/12/06,00:22:10.4,茨城県北部,36°48.7′N,140°32.4′E,8 km,4.5,震度３
2017/12/06,00:13:49.3,長野県中部,36°22.6′N,137°58.3′E,10 km,5.3,震度４
2017/12/02,05:48:00.9,浦河沖,42°02.2′N,142°30.3′E,67 km,4.9,震度３
2017/12/02,00:12:29.9,茨城県南部,36°03.1′N,139°53.4′E,43 km,4.4,震度４
2017/11/30,22:02:06.2,茨城県南部,36°02.3′N,139°53.7′E,42 km,3.9,震度３
2017/11/18,03:56:04.0,熊本県熊本地方,32°49.4′N,130°36.6′E,4 km,3.3,震度３
2017/11/17,10:02:47.3,福島県沖,37°10.9′N,141°22.9′E,48 km,4.8,震度４
2017/11/16,20:36:14.2,宮城県沖,38°44.0′N,142°02.0′E,57 km,4.0,震度３
2017/11/16,18:43:34.6,八丈島東方沖,32°21.1′N,140°44.7′E,46 km,6.0,震度３
2017/11/11,01:38:20.6,宮城県沖,38°22.0′N,141°50.2′E,59 km,4.7,震度４
2017/11/09,12:23:54.3,石川県能登地方,37°09.8′N,136°55.7′E,16 km,3.7,震度３
2017/11/09,11:38:38.4,石川県能登地方,37°09.8′N,136°55.7′E,16 km,3.5,震度３
2017/11/05,16:30:09.0,茨城県南部,36°07.3′N,139°50.9′E,49 km,4.0,震度３
2017/11/05,06:05:43.1,青森県三八上北地方,40°39.3′N,141°02.4′E,112 km,4.3,震度３
2017/11/03,21:38:06.1,茨城県北部,36°48.9′N,140°31.8′E,8 km,4.8,震度３
2017/11/03,13:49:44.1,和歌山県北部,33°59.8′N,135°14.1′E,8 km,3.5,震度３
2017/11/03,12:45:12.9,十勝沖,42°33.8′N,143°44.9′E,66 km,5.0,震度４
2017/11/02,22:31:06.6,茨城県沖,36°48.1′N,140°46.5′E,74 km,4.3,震度３
2017/11/01,00:46:11.4,鹿児島湾,31°23.9′N,130°36.8′E,9 km,3.8,震度４
2017/10/29,03:26:28.0,熊本県熊本地方,32°49.2′N,130°38.1′E,3 km,3.5,震度３
